District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Sant Kabir Nagar,314,Dhanghata (SC),Sriram Chauhan,,BJP,79572,40.11,Agloo Prasad,,SP,62663,31.58,16909
Maharajganj,315,Pharenda,Bajrang Bahadur Singh,,BJP,76312,38.75,Virendra Chaudhary,,INC,73958,37.55,2354
Maharajganj,316,Nautanwa,Aman Mani Tripathi,,Ind,79666,37.68,Kunwar Kaushal Kishore Singh,,SP,47410,22.42,32256
Maharajganj,317,Siswa,Prem Sagar Patel,,BJP,122884,51.88,Shivendra Singh,,SP,54698,23.09,68186
Maharajganj,318,Maharajganj (SC),Jai Mangal,,BJP,125154,51.16,Nirmesh Mangal,,BSP,56793,23.21,68361
Maharajganj,319,Paniyara,Gyanendra,,BJP,119308,49.35,Ganesh Shankar Pandey,,BSP,51817,21.43,67491
Gorakhpur,320,Caimpiyarganj,Fateh Bahadur Singh,,BJP,91636,42.64,Chinta Yadav,,INC,58782,27.35,32854
Gorakhpur,321,Pipraich,Mahendra Pal Singh,,BJP,82739,33.8,Aftab Alam,,BSP,69930,28.56,12809
Gorakhpur,322,Gorakhpur Urban,Radha Mohan Das Agarwal,,BJP,122221,56.07,Rana Rahul Singh,,INC,61491,28.21,60730
Gorakhpur,323,Gorakhpur Rural,Bipin Singh,,BJP,83686,35.71,Vijay Bahadur Yadav,,SP,79276,33.83,4410
Gorakhpur,324,Sahajanwa,Sheetal Pandey,,BJP,72213,34.77,Yaspal Singh Rawat,,SP,56836,27.37,15377
Gorakhpur,325,Khajani (SC),Sant Prasad,,BJP,71492,38.5,Rajkumar,,BSP,51413,27.68,20079
Gorakhpur,326,Chauri-Chaura,Sangeeta Yadav,,BJP,87863,45.63,Manurojan Yadav,,SP,42203,21.92,45660
Gorakhpur,327,Bansgaon (SC),Vimlesh Paswan,,BJP,71966,40.73,Dharmendra Kumar,,BSP,49093,27.79,22873
Gorakhpur,328,Chillupar,Vijay Shankar Tiwari,,BSP,78177,35.89,Rajesh Tripathi,,BJP,74818,34.35,3359
Kushinagar,329,Khadda,Jatashanker Tripathi,,BJP,82537,42.72,Vijay Pratap Kushwaha,,BSP,44040,22.8,38497
Kushinagar,330,Padrauna,Swami Prasad Maurya,,BJP,93649,44.79,Javed Iqbal,,BSP,53097,25.4,40552
Kushinagar,331,Tamkuhi Raj,Ajay Kumar Lallu,,INC,61211,28.88,Jagadish Mishra,,BJP,43097,20.33,18114
Kushinagar,332,Fazilnagar,Ganga,,BJP,102778,48.57,Vishwnath,,SP,60856,28.76,41922
Kushinagar,333,Kushinagar,Rajnikant Mani Tripathi,,BJP,97132,48.24,Rajesh Pratap Rao,,BSP,49029,24.35,48103
Kushinagar,334,Hata,Pawan Kumar,,BJP,103864,50.34,Radheshyam Singh,,SP,50788,24.62,53076
Kushinagar,335,Ramkola (SC),Ramanand Baudh,,SBSP,102782,52.95,Purnmasi Dehati,,SP,47053,24.24,55729
Deoria,336,Rudrapur,Jai Prakash Nishad,,BJP,77754,48.06,Akhilesh Pratap Singh,,INC,50965,31.5,26789
Deoria,337,Deoria,Janmejai Singh,,BJP,88030,48.41,J.P. Jaiswal,,SP,41794,22.98,46236
Deoria,338,Pathardeva,Surya Pratap Shahi,,BJP,99812,52.49,Shakir Ali,,SP,56815,29.88,42997
Deoria,339,Rampur Karkhana,Kamlesh Shukla,,BJP,62886,33.04,Fasiha Manzer Ghazala Lari,,SP,52899,27.79,9987
Deoria,340,Bhatpar Rani,Ashutosh Upadhyay,,SP,61862,34.48,Jayanth Kushwaha,,BJP,50765,28.29,11097
Deoria,341,Salempur (SC),Kalicharan Prasad,,BJP,76175,47.47,Vijay Laxmi Gautam,,SP,50521,31.48,25654
Deoria,342,Barhaj,Suresh Tiwari,,BJP,61996,37.06,Murli Manohar Jaiswal,,SP,50280,30.06,11716
Azamgarh,343,Atrauliya,Sangram Yadav,,SP,74276,35.5,Kanhaiya Lal Nishad,,BJP,71809,34.32,2467
